"id","name","email","password","profilePicture","description","dateOfBirth","language","createdAt","skill","currentEducation","experienceYears","interest","learningResource","tools","filledInformation"
"12664aa9-79e9-4a96-99a7-71c0f9c5565b","Cesar O'Hara IV","Hal_Cronin90@gmail.com","6946dbc1-a5fc-4d1e-97a2-249d748d0fcc",,,"2008-12-30 14:31:09.383","German","2024-09-02 02:08:21.839","AI Ethics;Autonomous Vehicles;Robotics;AI for Games","Middle School","2","Machine Learning;AI Planning and Optimization;;Autonomous Vehicles;Neural Networks;Speech Recognition;AI in Education;Reinforcement Learning;AI for Games;Generative AI;Deep Learning","Harvard Online;Stanford Online;GitHub;edX;Udemy;Kaggle;YouTube;MIT OpenCourseWare;;DeepLearning.ai","Amazon SageMaker;Microsoft Azure AI;IBM Watson;DataRobot;Hugging Face Transformers;Weka;RapidMiner;PyTorch","0"
"152d8821-cddb-440b-b28d-35373fc7263b","Leah O'Connell","Jesse.Hahn59@gmail.com","0e8d848a-08be-4ce3-bb23-35d8fde2fbd9",,,"2016-12-16 23:52:56.693","Turkish","2024-09-02 02:08:21.839","Neural Networks;Computer Vision;Expert Systems;AI in Healthcare;AI Ethics;Cognitive Computing","University","2","Speech Recognition;Autonomous Vehicles;AI Ethics;Recommender Systems;AI in Healthcare;Natural Language Processing;Reinforcement Learning","MIT OpenCourseWare;Google AI;edX;Coursera;Stanford Online;GitHub;Harvard Online;Udemy;","PyTorch;DataRobot;OpenAI GPT;RapidMiner;TensorFlow;Keras","0"
"15fcf6cb-8f62-4ca9-a79e-67ddd57fcc6f","Katrina Schoen","Jazmin_Kozey@hotmail.com","a394d162-019f-448e-8c3d-b263c3de6c57",,,"2014-07-16 18:06:43.552","Bengali","2024-09-02 02:08:21.839",,"High School","0","Natural Language Processing;Computer Vision;Autonomous Vehicles","Google AI;Harvard Online;YouTube;Kaggle;MIT OpenCourseWare;Udemy;edX;;DeepLearning.ai;GitHub","OpenAI GPT;Hugging Face Transformers;PyTorch;;Amazon SageMaker;DataRobot;Microsoft Azure AI;BigML;TensorFlow;Weka;Google Cloud AI;Scikit-learn;RapidMiner;Keras;IBM Watson","0"
"173e866b-2c3e-4f43-81ee-54814778161e","Sammy Durgan MD","Talon.MacGyver38@yahoo.com","5411fc8c-2848-4496-a969-9eb9972b5a66",,,"2009-04-26 16:27:59.155","Swedish","2024-09-02 02:08:21.839","Reinforcement Learning;Cognitive Computing","Elementary","1","Neural Networks;AI Planning and Optimization;Autonomous Vehicles;AI for Games;Generative AI;AI Ethics;Recommender Systems;AI in Education;Cognitive Computing;AI in Healthcare;;Reinforcement Learning;Machine Learning;Expert Systems;Deep Learning;Speech Recognition;Computer Vision;Natural Language Processing;Robotics",";GitHub;Harvard Online;Coursera","PyTorch","0"
"1797419f-2199-4d22-a5d5-a0aa1948e6df","Jean Rogahn","Dewayne34@yahoo.com","9c0a9e9d-9c35-4f3f-bac8-26c4d279452e",,,"2014-07-10 03:00:08.668","Dutch","2024-09-02 02:08:21.839",,"High School","0","Robotics;;AI in Education;Reinforcement Learning;AI Planning and Optimization;Neural Networks;Generative AI;Speech Recognition;AI in Finance;AI in Healthcare","Udemy","Amazon SageMaker;PyTorch;Keras;Google Cloud AI;RapidMiner;Hugging Face Transformers;IBM Watson;Weka;OpenCV;TensorFlow;DataRobot;Scikit-learn;;OpenAI GPT;Microsoft Azure AI","0"
"18050e6d-5281-455e-84f3-50e066b79448","Kelli Boehm","Norberto_Walker-OConner80@yahoo.com","70a7bf40-c37d-4de5-b970-c4654da80fe8",,,"2021-07-27 14:02:33.575","Mandarin","2024-09-02 02:08:21.839",,"High School","0","AI Planning and Optimization;Computer Vision;AI in Healthcare;Machine Learning;AI in Finance;Robotics;AI for Games","Kaggle;Udemy;Coursera;;Google AI;GitHub;Harvard Online","TensorFlow","0"
"185341c0-315e-4cf8-85d6-171434c762fd","Leland Pagac","Bria31@gmail.com","08e744dd-0e72-4689-8132-2305e416a3f7",,,"2006-02-09 06:44:30.199","Arabic","2024-09-02 02:08:21.839","AI for Games;Computer Vision","Elementary","1",";Deep Learning;Computer Vision;AI in Education;AI for Games;Neural Networks;Robotics;Cognitive Computing;Reinforcement Learning;AI in Finance;Expert Systems;Recommender Systems;AI Ethics;Speech Recognition;Autonomous Vehicles;AI in Healthcare;Machine Learning;Natural Language Processing","edX;GitHub;Harvard Online;YouTube;;DeepLearning.ai;Stanford Online;Coursera","RapidMiner;IBM Watson;Microsoft Azure AI;Scikit-learn;OpenCV;OpenAI GPT;PyTorch;BigML;Google Cloud AI","0"
"1856cb64-eaa9-4899-a57a-09c251bdcccc","Wilbert Boyer","Elliot.Barrows55@yahoo.com","3878cb85-098e-4fe0-baf0-6cbe8778d25f",,,"2011-03-02 01:31:44.436","Italian","2024-09-02 02:08:21.839",,"High School","0","Deep Learning;Natural Language Processing;Cognitive Computing;Autonomous Vehicles;Robotics;AI in Education;AI Planning and Optimization;;Neural Networks;Expert Systems;Machine Learning;Computer Vision;AI for Games;Reinforcement Learning;AI in Healthcare;AI Ethics;Speech Recognition;Generative AI;AI in Finance","Harvard Online;YouTube;edX;Udemy","Keras;Microsoft Azure AI;BigML;Amazon SageMaker;Hugging Face Transformers;TensorFlow;","0"
"185a9244-7f83-43ef-ac5f-fd7cf49301d8","Antonia Koepp","Dallas.Schultz65@yahoo.com","5b222bf8-e5d2-4fb6-8b09-42966a1dbddb",,,"2013-10-05 07:36:04.859","Japanese","2024-09-02 02:08:21.839","Recommender Systems;Autonomous Vehicles;Reinforcement Learning;AI in Education;Machine Learning;AI Planning and Optimization;Robotics;AI Ethics;Deep Learning;Expert Systems;Speech Recognition",,"5","AI Ethics;Deep Learning;AI in Healthcare;Recommender Systems;Computer Vision","Coursera;MIT OpenCourseWare;edX;DeepLearning.ai;Harvard Online;GitHub;Kaggle;YouTube","Google Cloud AI","0"
"19332ef3-fb53-4712-bca7-01f79286ba42","Steven Pacocha III","Ida44@yahoo.com","72f4b3d1-490c-44ca-a163-e81025731a7d",,,"2012-02-07 02:52:15.778","Turkish","2024-09-02 02:08:21.839","Reinforcement Learning;AI Planning and Optimization;Machine Learning;Speech Recognition;Deep Learning;Autonomous Vehicles;Computer Vision;Robotics;Neural Networks;Recommender Systems;AI in Education",,"5","Computer Vision;Recommender Systems;AI Ethics;Speech Recognition;;AI in Education",";Google AI;Coursera;DeepLearning.ai;GitHub;Harvard Online;Udemy;Stanford Online;MIT OpenCourseWare;YouTube","OpenCV","0"
"1a746428-ede7-4a96-bfbb-1163cd5faa4a","Larry Torp","Whitney_Thiel@hotmail.com","f36eb0e3-03a6-4e84-8b17-256d470e9ed9",,,"2007-06-20 12:06:26.109","Spanish","2024-09-02 02:08:21.839","Robotics;Machine Learning;Speech Recognition;Deep Learning","Middle School","2","Recommender Systems;Generative AI;AI in Education;Deep Learning;Autonomous Vehicles;AI in Healthcare;AI for Games;Expert Systems;Machine Learning;;AI Planning and Optimization;Natural Language Processing","edX;MIT OpenCourseWare;Harvard Online;GitHub;DeepLearning.ai;Google AI","PyTorch;;Hugging Face Transformers;Keras;RapidMiner;BigML;IBM Watson;Google Cloud AI","0"
"1c15a972-8f01-491a-bb7f-1c9f8af5e20a","Rick Howe","Rowena87@gmail.com","b304793c-f1bf-44ce-8bc7-bdde990b193c",,,"2007-01-30 07:47:14.679","Russian","2024-09-02 02:08:21.839",,"High School","0","AI in Education;Computer Vision;Machine Learning;Robotics;AI in Healthcare;Autonomous Vehicles;Recommender Systems","GitHub;Harvard Online","Hugging Face Transformers;BigML;Microsoft Azure AI;;RapidMiner;OpenCV;TensorFlow;PyTorch;Google Cloud AI;DataRobot;Keras;Amazon SageMaker;IBM Watson","0"
"1e036965-f8f4-405d-ae5e-40a887bcddaa","Darla Luettgen","Karelle_Kirlin35@gmail.com","c32f8ecc-3007-40fc-bca9-240caaf06e6c",,,"2008-09-17 18:44:26.305","Thai","2024-09-02 02:08:21.839","AI in Healthcare;AI Ethics;AI in Education","Middle School","1","AI in Healthcare","Coursera;Harvard Online;edX;;Stanford Online;DeepLearning.ai;Kaggle;GitHub;Google AI;MIT OpenCourseWare;Udemy","BigML;IBM Watson;Amazon SageMaker;Scikit-learn;TensorFlow;RapidMiner;Microsoft Azure AI;Weka","0"
"1e4e4ea0-9b7d-480c-8722-fbd72fdeec91","Henry Schowalter MD","Kelly.Konopelski48@hotmail.com","ae88d16d-2e10-45d5-a8c0-4a28056a2123",,,"2021-02-16 09:24:54.999","Greek","2024-09-02 02:08:21.839","Autonomous Vehicles;;Expert Systems;Generative AI;Machine Learning;AI in Education;AI in Finance","Undergraduate Degree","3","Speech Recognition;Recommender Systems;AI in Education;AI Planning and Optimization;Reinforcement Learning;Neural Networks;AI Ethics;AI in Finance;Natural Language Processing;Computer Vision;Robotics","Google AI;Harvard Online;Stanford Online;Kaggle;edX;Udemy;GitHub;YouTube",,"0"
"20034b71-437b-4792-abbc-68ec02023b48","Viola Gusikowski","Cristopher32@hotmail.com","fbaa924d-4ef7-49b9-8425-555c85e0e5ca",,,"2015-06-25 17:40:35.683","Dutch","2024-09-02 02:08:21.839","Natural Language Processing;Deep Learning;Speech Recognition","Middle School","1","Reinforcement Learning;Expert Systems;AI Ethics;Generative AI;Autonomous Vehicles;AI in Finance;Cognitive Computing","DeepLearning.ai;GitHub;Kaggle","Weka","0"
"20819363-ba37-411e-8b23-24693c2dbd4e","Elisa Dare","Rosetta_Connelly75@yahoo.com","de65e1e4-c85f-4d6a-b3ac-126e0ec38c0d",,,"2020-12-20 22:18:23.098","Italian","2024-09-02 02:08:21.839","Expert Systems;Neural Networks;AI for Games;Deep Learning;Speech Recognition;AI in Healthcare;Natural Language Processing","Undergraduate Degree","3","AI for Games;Reinforcement Learning;Neural Networks;Generative AI;Robotics;AI Ethics;Deep Learning;AI in Healthcare;Recommender Systems;Computer Vision;;AI in Finance","MIT OpenCourseWare;DeepLearning.ai;;Udemy;Stanford Online",";Microsoft Azure AI;OpenAI GPT;BigML;OpenCV;Amazon SageMaker;Weka;IBM Watson;Scikit-learn;Google Cloud AI;Hugging Face Transformers;Keras;PyTorch","0"
"26771029-f870-4850-ab4d-0570039be1b1","Gladys Tillman","Ayden.Jacobson@yahoo.com","d83f56e6-2ef5-4a59-89d1-a591bbee32ca",,,"2011-02-16 12:45:49.026","Dutch","2024-09-02 02:08:21.839",,"High School","0","Natural Language Processing;AI in Education;Computer Vision;Recommender Systems;AI for Games;AI Planning and Optimization;Deep Learning;Cognitive Computing;Neural Networks;Expert Systems;Reinforcement Learning;;AI in Finance","Stanford Online;Kaggle","OpenAI GPT;Microsoft Azure AI;Amazon SageMaker;;Hugging Face Transformers;TensorFlow;Weka;Keras;Scikit-learn;RapidMiner;DataRobot","0"
"274e5780-8ae7-48a4-88d7-09ca1fdbffb9","Stewart Simonis","Elna_Jakubowski@gmail.com","feac7404-c011-4a05-b862-31d7fc49350e",,,"2017-09-26 17:37:50.800","French","2024-09-02 02:08:21.839","Natural Language Processing;Speech Recognition;Deep Learning;AI Planning and Optimization;Autonomous Vehicles;Reinforcement Learning","University","2","AI for Games;Natural Language Processing;Neural Networks;AI Planning and Optimization;AI Ethics;;Speech Recognition;AI in Finance;Cognitive Computing;Deep Learning;Autonomous Vehicles;Computer Vision;Machine Learning;AI in Education","edX;MIT OpenCourseWare;Google AI;;DeepLearning.ai","RapidMiner;Google Cloud AI;IBM Watson;PyTorch;Keras;Amazon SageMaker;Scikit-learn;Hugging Face Transformers;Weka;OpenCV;;OpenAI GPT;DataRobot;BigML;Microsoft Azure AI","0"
"2a6cb0e2-dcc2-472a-a9e8-fa494c0e3c52","Mr. Cody Leffler","Brennan72@gmail.com","583388dd-414a-4427-8eda-9c534ce3a947",,,"2013-12-16 01:45:19.757","Turkish","2024-09-02 02:08:21.839","Deep Learning;AI Ethics;Generative AI;Robotics","Middle School","2","Robotics;Generative AI;Natural Language Processing;AI in Healthcare;Reinforcement Learning;AI Planning and Optimization;AI for Games;AI in Finance;AI in Education;Expert Systems","Stanford Online;Udemy;Google AI;Coursera;MIT OpenCourseWare;YouTube;edX","Microsoft Azure AI;","0"
"2b352ec2-423d-43bc-9d83-c8cde689984e","Lynn Lubowitz","Ephraim.Langosh26@yahoo.com","cb1dbdaf-7068-4b65-b4d8-9b9a3f6464d7",,,"2023-04-02 20:30:55.481","Dutch","2024-09-02 02:08:21.839","Autonomous Vehicles;Recommender Systems;AI in Education;AI in Finance;Reinforcement Learning;Natural Language Processing;Neural Networks;Speech Recognition;AI in Healthcare","Master Degree","4","AI in Education;AI Ethics;Cognitive Computing;AI for Games;Deep Learning;Reinforcement Learning","Udemy;Stanford Online;YouTube;Kaggle","Google Cloud AI;DataRobot;Keras;Microsoft Azure AI;TensorFlow;Amazon SageMaker;Scikit-learn","0"
"2b3dbbc0-33ee-4a1d-91de-fff2651390f6","Elijah Labadie","Kelton_Schuppe@yahoo.com","aa73afeb-5a65-4760-85b0-0594e0352e36",,,"2006-08-16 00:52:53.016","Thai","2024-09-02 02:08:21.839","Neural Networks;Autonomous Vehicles","Elementary","1",";AI in Healthcare;Recommender Systems;Generative AI;Robotics;Natural Language Processing;Reinforcement Learning;Autonomous Vehicles;Expert Systems",,"OpenCV;TensorFlow;Microsoft Azure AI;IBM Watson;;DataRobot;Weka;BigML","0"
"2beaa48b-cdd9-45e2-a35f-2d033111b6b2","Terence Schinner","Prince79@hotmail.com","0583c3dc-8bcf-493a-8674-cf8894c19607",,,"2008-10-16 09:39:43.450","Spanish","2024-09-02 02:08:21.839","AI in Finance;Recommender Systems;AI in Education;Neural Networks;Robotics;Generative AI;Speech Recognition;Computer Vision;AI for Games;Natural Language Processing;Reinforcement Learning",,"5","AI in Education;Natural Language Processing;Cognitive Computing;Machine Learning;;Recommender Systems;Computer Vision;Neural Networks;AI for Games;AI Planning and Optimization;Robotics;AI in Healthcare;AI in Finance;AI Ethics","Stanford Online;Google AI;DeepLearning.ai;edX;Kaggle;YouTube;Udemy;GitHub",";IBM Watson;Google Cloud AI;Amazon SageMaker;OpenAI GPT;DataRobot;Scikit-learn;Hugging Face Transformers;PyTorch;BigML;TensorFlow;OpenCV;Keras;Microsoft Azure AI;RapidMiner","0"
"2c3913ca-dfb9-4fb7-852d-b43b22cf5ede","Marta Mills","Pete.Kovacek43@gmail.com","3c6b1dc0-cefb-4f2a-b2a0-3a004f5a471f",,,"2019-05-30 13:45:56.574","Japanese","2024-09-02 02:08:21.839","AI for Games","High School","0","Expert Systems",,"BigML;Microsoft Azure AI;Scikit-learn;OpenAI GPT;DataRobot","0"
"2ce37f50-e9a0-475e-9a3a-3128e749e955","Dana Tremblay","Devyn.Howe11@hotmail.com","c0a573e5-3338-424d-88fa-fd903bf036b6",,,"2021-10-23 19:22:47.208","Italian","2024-09-02 02:08:21.839","AI in Finance;AI for Games;Recommender Systems","Middle School","1","Autonomous Vehicles;Robotics","Coursera;MIT OpenCourseWare;DeepLearning.ai;YouTube;Stanford Online","Keras;Weka;;Hugging Face Transformers;RapidMiner;OpenCV;DataRobot;IBM Watson;BigML;Amazon SageMaker;Google Cloud AI;Microsoft Azure AI;OpenAI GPT","0"
"2cec9ffb-c441-4738-b777-6a3ebdcff692","Elizabeth Stehr","Yoshiko_Schinner@yahoo.com","3e0422f7-3ec1-4084-8d92-4abd4a926406",,,"2014-10-17 08:11:27.687","Vietnamese","2024-09-02 02:08:21.839","Reinforcement Learning;AI in Finance;;Generative AI;Autonomous Vehicles;AI Planning and Optimization;Machine Learning","Undergraduate Degree","3","Generative AI;Computer Vision;Autonomous Vehicles;;AI Ethics;AI in Education;Cognitive Computing;Speech Recognition;Expert Systems","GitHub;MIT OpenCourseWare;Kaggle;YouTube;Google AI","Scikit-learn;Weka;;DataRobot;Hugging Face Transformers;Google Cloud AI;IBM Watson;Amazon SageMaker;PyTorch","0"
"2d5d8303-f678-476f-9df2-b40a0524ed97","Valerie Rice","Cheyanne_Batz69@gmail.com","727ae286-6f8a-4290-bbfc-fc1aaf0e6004",,,"2023-04-09 07:57:31.401","German","2024-09-02 02:08:21.839","AI Planning and Optimization;Robotics;Machine Learning;;Cognitive Computing;Generative AI;AI in Education","Undergraduate Degree","3","AI for Games;AI in Healthcare","DeepLearning.ai;YouTube;Google AI;Coursera;;Kaggle;Stanford Online","Amazon SageMaker;;TensorFlow;Microsoft Azure AI;IBM Watson;RapidMiner;DataRobot;Keras;OpenAI GPT;Google Cloud AI;PyTorch;Scikit-learn;BigML;Weka","0"
"30cf8fb5-187c-41da-9939-10ca565206b8","Miss Meghan Gusikowski","Gene11@yahoo.com","ae1a0529-af04-4ec6-8911-cfdcb06e5c5a",,,"2007-12-01 08:53:21.264","German","2024-09-02 02:08:21.839",,"High School","0","Generative AI;Expert Systems;Reinforcement Learning;Robotics;Cognitive Computing;Speech Recognition;;Deep Learning;AI in Finance;Natural Language Processing","Harvard Online;YouTube","Weka;OpenCV;Microsoft Azure AI;DataRobot;TensorFlow;BigML;;OpenAI GPT;Hugging Face Transformers;IBM Watson;Amazon SageMaker;Scikit-learn;Keras;RapidMiner;Google Cloud AI","0"
"30dd2493-83ed-468e-baca-629c39442074","Gayle Lockman","Jasper_Lind@hotmail.com","34e0b29f-4430-4ec9-b395-5cd4a9ca4d52",,,"2007-07-22 19:33:24.758","Hindi","2024-09-02 02:08:21.839","AI Planning and Optimization;Speech Recognition;Neural Networks;Machine Learning;Natural Language Processing;;Computer Vision;AI Ethics","Undergraduate Degree","3","Machine Learning;AI in Healthcare;Speech Recognition;Cognitive Computing;AI in Education;Neural Networks;Natural Language Processing;Recommender Systems;AI Ethics;Generative AI;AI Planning and Optimization","Google AI;Stanford Online;Kaggle;DeepLearning.ai","Amazon SageMaker;;Weka;Keras;RapidMiner;TensorFlow;OpenAI GPT","0"
"31927d77-48e0-4116-87b7-55e880cb092b","Marion Block","Esperanza.Collier9@yahoo.com","9fb2760f-2274-413e-814d-ad958ae9f608",,,"2020-01-21 20:27:57.889","Japanese","2024-09-02 02:08:21.839",,"High School","0","Autonomous Vehicles;AI in Healthcare;AI Ethics;Generative AI;AI in Finance","YouTube;Udemy;Google AI;Harvard Online;Kaggle;GitHub","OpenAI GPT","0"
"3560e97d-5c27-4c35-aec2-50d8e6fa1825","Krystal Morar","Skylar.Mohr4@yahoo.com","8c9b9933-f7a4-43c7-8be0-a52589533f8f",,,"2011-04-03 21:09:16.338","Spanish","2024-09-02 02:08:21.839",";AI Ethics;Autonomous Vehicles","Middle School","1",";Neural Networks;Generative AI;Reinforcement Learning;Expert Systems;Cognitive Computing;AI in Education;Natural Language Processing;Computer Vision;Autonomous Vehicles;Deep Learning;AI in Healthcare;AI for Games;Speech Recognition;Robotics;AI Planning and Optimization;AI Ethics;Machine Learning;Recommender Systems","GitHub","BigML;OpenAI GPT;Keras;Weka;;PyTorch;DataRobot;Google Cloud AI;Microsoft Azure AI;Hugging Face Transformers","0"
"357c9be3-6ff3-4413-81eb-4949b254165d","Winifred Murazik DDS","Ari.Dietrich@gmail.com","291feec8-fbf5-4cb3-b051-8ded0268a867",,,"2014-01-19 09:18:55.293","Spanish","2024-09-02 02:08:21.839","Autonomous Vehicles;Robotics;AI in Education;Deep Learning;;AI in Finance;Speech Recognition","Undergraduate Degree","3","Neural Networks;AI for Games;AI Ethics","MIT OpenCourseWare;YouTube","DataRobot;Microsoft Azure AI;OpenCV;TensorFlow;Google Cloud AI;PyTorch;IBM Watson;OpenAI GPT;Amazon SageMaker;BigML;RapidMiner;;Weka;Hugging Face Transformers;Keras","0"
"3619c13e-07e1-4a31-a528-972e727d1959","Dr. Dominick Dooley","Fleta18@yahoo.com","04ae8dcb-6816-490e-bc89-a9967cf2e2ae",,,"2023-10-25 02:30:38.695","Korean","2024-09-02 02:08:21.839","Robotics;Deep Learning;AI in Finance;AI in Healthcare;AI for Games;;AI in Education;Speech Recognition","Undergraduate Degree","3","Speech Recognition;Cognitive Computing;Robotics;AI Ethics;AI in Education;Natural Language Processing;;AI in Finance;Neural Networks;Deep Learning;Generative AI;Recommender Systems;Machine Learning;Autonomous Vehicles;AI in Healthcare;Expert Systems","Kaggle;MIT OpenCourseWare;Stanford Online;Google AI;YouTube;Harvard Online;GitHub;Udemy;DeepLearning.ai;Coursera","Amazon SageMaker;Microsoft Azure AI;Google Cloud AI;Keras;Weka;RapidMiner;OpenCV;OpenAI GPT;PyTorch;Scikit-learn;BigML","0"
